Sleep,Program,,,,,,,,,,,,,,,,,,
01-09-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
31-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
30-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
27-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
25-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
22-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
20-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
19-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
18-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
17-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
15-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
14-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
13-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-08-2022,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
11-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
10-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
10-08-2022,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
09-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-08-2022,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
07-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-08-2022,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
06-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
05-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
05-08-2022,3rd Floor Male,,,,,,,,,,,,,,,,,,
05-08-2022,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
04-08-2022,3rd Floor Male,,,,,,,,,,,,,,,,,,
04-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
04-08-2022,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
03-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
03-08-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
03-08-2022,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
28-07-2022,3rd Floor Male,,,,,,,,,,,,,,,,,,
28-06-2022,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
14-04-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
13-04-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
05-04-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
01-04-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
30-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
25-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
22-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
19-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
18-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
17-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
15-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
11-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
05-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
04-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
03-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
02-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
01-03-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
27-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
25-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
22-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
20-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
19-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
18-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
17-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
15-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
14-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
13-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
10-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
09-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
06-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
05-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
04-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
03-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
02-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
01-02-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
31-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
30-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
29-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
27-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
25-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
20-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
19-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
18-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
17-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
15-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
14-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
13-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
11-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
10-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
09-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
06-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
05-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
03-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
02-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
01-01-2022,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
31-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
30-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
29-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
27-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
25-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
22-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
20-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
19-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
18-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
17-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
15-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
14-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
13-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
11-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
10-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
09-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
06-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
