Sleep,Program,,,,,,,,,,,,,,,,,,
25-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
24-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
21-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
20-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
19-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
18-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
17-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
16-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
15-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
14-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
13-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
12-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
11-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
10-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
09-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
06-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
31-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
29-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
28-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
27-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
26-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
25-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
24-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
23-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
22-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
21-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
19-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
18-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
17-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
16-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
15-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
14-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
13-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
11-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
10-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
08-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
07-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
05-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
04-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
03-01-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
02-01-2022,4th Floor,,,,,,,,,,,,,,,,,,
01-01-2022,4th Floor,,,,,,,,,,,,,,,,,,
31-12-2021,4th Floor,,,,,,,,,,,,,,,,,,
30-12-2021,4th Floor,,,,,,,,,,,,,,,,,,
29-12-2021,4th Floor,,,,,,,,,,,,,,,,,,
28-12-2021,4th Floor,,,,,,,,,,,,,,,,,,
27-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
26-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
21-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
20-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
19-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
15-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
14-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
13-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
11-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
10-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
09-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
08-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
06-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
01-12-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
30-11-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
28-11-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
25-11-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
24-11-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
23-11-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
21-11-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
18-11-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
11-11-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
04-11-2021,1st Floor Lobby Overflow,,,,,,,,,,,,,,,,,,
02-11-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
31-10-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
29-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
28-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
26-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
25-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
24-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
23-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
22-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
21-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
20-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
19-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
18-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
17-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
16-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
15-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
14-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
13-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
12-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
11-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
10-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
09-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
08-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
07-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
06-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
05-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
04-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
02-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
01-10-2021,4th Floor,,,,,,,,,,,,,,,,,,
29-09-2021,4th Floor,,,,,,,,,,,,,,,,,,
28-09-2021,4th Floor,,,,,,,,,,,,,,,,,,
27-09-2021,4th Floor,,,,,,,,,,,,,,,,,,
26-09-2021,4th Floor,,,,,,,,,,,,,,,,,,
25-09-2021,4th Floor,,,,,,,,,,,,,,,,,,
24-09-2021,4th Floor,,,,,,,,,,,,,,,,,,
23-09-2021,4th Floor,,,,,,,,,,,,,,,,,,
09-09-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
08-09-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
06-09-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
04-09-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
03-09-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
02-09-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
01-09-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
31-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
30-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
29-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
28-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
27-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
26-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
24-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
23-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
22-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
19-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
18-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
15-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
14-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
13-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
12-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
11-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
10-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
09-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
08-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
07-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
06-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
04-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
03-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
02-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
01-08-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
31-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
30-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
29-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
28-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
27-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
26-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
25-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
24-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
23-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
22-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
21-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
20-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
19-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
18-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
17-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
16-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
14-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
13-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
12-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
11-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
10-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
09-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
08-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
07-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
05-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
04-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
03-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
02-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
01-07-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
30-06-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
29-06-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
28-06-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
27-06-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
26-06-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
25-06-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
24-06-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
23-06-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
22-06-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
21-06-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
26-05-2021,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
09-05-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
07-05-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
06-05-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
04-05-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
03-05-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
02-05-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
01-05-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
29-04-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
28-04-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
27-04-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
26-04-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
25-04-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
24-04-2021,5th Floor Male,,,,,,,,,,,,,,,,,,
21-04-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-04-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-03-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
19-03-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
17-03-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-03-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
15-03-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
14-03-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-03-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
11-03-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
31-10-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
27-05-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-05-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
25-05-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-05-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-05-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
22-05-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
22-05-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
21-05-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
20-05-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
20-05-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
19-05-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
18-05-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
18-05-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
17-05-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
11-05-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
10-05-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
