Sleep,Program
29-08-2022,3rd Floor Male
28-08-2022,Day Sleep (3rd Floor)
26-08-2022,3rd Floor Male
24-08-2022,3rd Floor Male
24-08-2022,Day Sleep (3rd Floor)
23-08-2022,3rd Floor Male
22-08-2022,Day Sleep (3rd Floor)
21-08-2022,3rd Floor Male
20-08-2022,3rd Floor Female
20-08-2022,Day Sleep (3rd Floor)
19-08-2022,3rd Floor Male
19-08-2022,Day Sleep (3rd Floor)
18-08-2022,3rd Floor Male
18-08-2022,Day Sleep (3rd Floor)
17-08-2022,3rd Floor Male
13-08-2022,3rd Floor Male
13-08-2022,Day Sleep (3rd Floor)
12-08-2022,3rd Floor Male
12-08-2022,Day Sleep (3rd Floor)
11-08-2022,3rd Floor Male
10-08-2022,3rd Floor Male
10-08-2022,Day Sleep (3rd Floor)
09-08-2022,3rd Floor Male
06-08-2022,3rd Floor Male
06-08-2022,Day Sleep (3rd Floor)
05-08-2022,3rd Floor Male
04-08-2022,3rd Floor Male
04-08-2022,Day Sleep (3rd Floor)
02-08-2022,3rd Floor Male
28-07-2022,3rd Floor Male
27-07-2022,3rd Floor Male
26-07-2022,3rd Floor Male
23-07-2022,3rd Floor Male
22-07-2022,3rd Floor Male
21-07-2022,3rd Floor Male
20-07-2022,Day Sleep (3rd Floor)
19-07-2022,3rd Floor Male
17-07-2022,Day Sleep (3rd Floor)
16-07-2022,Day Sleep (3rd Floor)
15-07-2022,3rd Floor Male
15-07-2022,Day Sleep (3rd Floor)
14-07-2022,3rd Floor Male
14-07-2022,3rd Floor Male
12-07-2022,3rd Floor Male
09-07-2022,3rd Floor Male
08-07-2022,Day Sleep (3rd Floor)
07-07-2022,3rd Floor Male
06-07-2022,3rd Floor Male
05-07-2022,3rd Floor Male
02-07-2022,3rd Floor Male
01-07-2022,3rd Floor Male
30-06-2022,3rd Floor Male
30-06-2022,Day Sleep (3rd Floor)
29-06-2022,3rd Floor Male
29-06-2022,3rd Floor Male
27-06-2022,3rd Floor Male
25-06-2022,3rd Floor Male
25-06-2022,Day Sleep (3rd Floor)
24-06-2022,3rd Floor Male
23-06-2022,3rd Floor Male
22-06-2022,3rd Floor Male
20-06-2022,3rd Floor Male
18-06-2022,3rd Floor Male
17-06-2022,3rd Floor Male
16-06-2022,3rd Floor Male
16-06-2022,Day Sleep (3rd Floor)
15-06-2022,3rd Floor Male
15-06-2022,Day Sleep (3rd Floor)
11-06-2022,3rd Floor Male
10-06-2022,3rd Floor Male
10-06-2022,Day Sleep (3rd Floor)
09-06-2022,3rd Floor Male
08-06-2022,3rd Floor Male
08-06-2022,Day Sleep (3rd Floor)
07-06-2022,3rd Floor Male
05-06-2022,Day Sleep (3rd Floor)
04-06-2022,3rd Floor Male
04-06-2022,Day Sleep (3rd Floor)
03-06-2022,3rd Floor Male
02-06-2022,3rd Floor Male
31-05-2022,3rd Floor Male
28-05-2022,3rd Floor Male
27-05-2022,3rd Floor Male
26-05-2022,3rd Floor Male
25-05-2022,Day Sleep (3rd Floor)
24-05-2022,3rd Floor Male
21-05-2022,3rd Floor Male
20-05-2022,3rd Floor Male
19-05-2022,3rd Floor Male
19-05-2022,Day Sleep (3rd Floor)
18-05-2022,3rd Floor Male
17-05-2022,Day Sleep (3rd Floor)
16-05-2022,3rd Floor Male
15-05-2022,Day Sleep (3rd Floor)
14-05-2022,Day Sleep (3rd Floor)
13-05-2022,3rd Floor Male
12-05-2022,3rd Floor Male
12-05-2022,Day Sleep (3rd Floor)
11-05-2022,3rd Floor Male
11-05-2022,3rd Floor Male
08-05-2022,3rd Floor Male
08-05-2022,Day Sleep (3rd Floor)
07-05-2022,3rd Floor Male
06-05-2022,3rd Floor Male
05-05-2022,3rd Floor Male
04-05-2022,1st Floor Riverfront
03-05-2022,3rd Floor Male
27-04-2022,3rd Floor Male
25-04-2022,3rd Floor Male
24-04-2022,Day Sleep (3rd Floor)
23-04-2022,3rd Floor Male
22-04-2022,Day Sleep (3rd Floor)
21-04-2022,3rd Floor Male
21-04-2022,Day Sleep (3rd Floor)
20-04-2022,3rd Floor Male
19-04-2022,3rd Floor Male
17-04-2022,Day Sleep (3rd Floor)
16-04-2022,3rd Floor Male
15-04-2022,3rd Floor Male
15-04-2022,Day Sleep (3rd Floor)
14-04-2022,3rd Floor Male
13-04-2022,3rd Floor Male
13-04-2022,Day Sleep (3rd Floor)
12-04-2022,3rd Floor Female
12-04-2022,3rd Floor Male
09-04-2022,3rd Floor Male
09-04-2022,Day Sleep (3rd Floor)
08-04-2022,3rd Floor Male
08-04-2022,Day Sleep (3rd Floor)
07-04-2022,3rd Floor Male
06-04-2022,3rd Floor Male
05-04-2022,3rd Floor Male
01-04-2022,3rd Floor Male
25-03-2022,1st Floor Riverfront
24-03-2022,1st Floor Riverfront
23-03-2022,1st Floor Riverfront
22-03-2022,1st Floor Riverfront
19-03-2022,1st Floor Riverfront
15-03-2022,1st Floor Riverfront
12-03-2022,1st Floor Riverfront
10-03-2022,1st Floor Riverfront
09-03-2022,1st Floor Riverfront
08-03-2022,1st Floor Riverfront
05-03-2022,1st Floor Riverfront
04-03-2022,1st Floor Riverfront
03-03-2022,3rd Floor Female
25-02-2022,1st Floor Riverfront
24-02-2022,1st Floor Riverfront
23-02-2022,3rd Floor Female
22-02-2022,3rd Floor Female
18-02-2022,1st Floor Riverfront
17-02-2022,1st Floor Riverfront
15-02-2022,1st Floor Riverfront
11-02-2022,1st Floor Lobby Overflow
10-02-2022,1st Floor Riverfront
09-02-2022,1st Floor Riverfront
05-02-2022,1st Floor Riverfront
03-02-2022,3rd Floor Female
02-02-2022,3rd Floor Female
04-01-2022,1st Floor Lobby Overflow
02-01-2022,3rd Floor Male
01-01-2022,3rd Floor Male
30-12-2021,3rd Floor Male
29-12-2021,3rd Floor Male
23-12-2021,3rd Floor Male
22-12-2021,3rd Floor Male
21-12-2021,3rd Floor Male
18-12-2021,3rd Floor Male
17-12-2021,3rd Floor Male
16-12-2021,3rd Floor Male
15-12-2021,3rd Floor Male
14-12-2021,3rd Floor Male
11-12-2021,3rd Floor Male
09-12-2021,3rd Floor Male
07-12-2021,3rd Floor Male
06-12-2021,3rd Floor Male
05-12-2021,3rd Floor Male
04-12-2021,3rd Floor Male
03-12-2021,3rd Floor Male
02-12-2021,3rd Floor Male
30-11-2021,3rd Floor Male
29-11-2021,3rd Floor Male
28-11-2021,3rd Floor Male
27-11-2021,3rd Floor Male
26-11-2021,3rd Floor Male
24-11-2021,3rd Floor Male
23-11-2021,3rd Floor Male
20-11-2021,3rd Floor Male
19-11-2021,3rd Floor Male
18-11-2021,3rd Floor Male
17-11-2021,3rd Floor Male
16-11-2021,3rd Floor Male
14-11-2021,3rd Floor Male
13-11-2021,3rd Floor Male
12-11-2021,3rd Floor Male
11-11-2021,3rd Floor Male
10-11-2021,3rd Floor Male
06-11-2021,3rd Floor Male
05-11-2021,3rd Floor Male
04-11-2021,3rd Floor Male
02-11-2021,3rd Floor Male
01-11-2021,3rd Floor Male
31-10-2021,3rd Floor Male
30-10-2021,3rd Floor Male
29-10-2021,3rd Floor Male
28-10-2021,3rd Floor Male
27-10-2021,3rd Floor Male
26-10-2021,3rd Floor Male
25-10-2021,3rd Floor Male
24-10-2021,3rd Floor Male
23-10-2021,3rd Floor Male
22-10-2021,3rd Floor Male
21-10-2021,3rd Floor Male
20-10-2021,3rd Floor Male
19-10-2021,3rd Floor Male
18-10-2021,3rd Floor Male
17-10-2021,3rd Floor Male
16-10-2021,3rd Floor Male
15-10-2021,3rd Floor Male
14-10-2021,3rd Floor Male
12-10-2021,3rd Floor Male
11-10-2021,3rd Floor Male
10-10-2021,3rd Floor Male
09-10-2021,3rd Floor Male
07-10-2021,3rd Floor Male
05-10-2021,3rd Floor Male
04-10-2021,3rd Floor Male
03-10-2021,3rd Floor Male
02-10-2021,3rd Floor Male
01-10-2021,3rd Floor Male
30-09-2021,3rd Floor Male
29-09-2021,3rd Floor Male
28-09-2021,3rd Floor Male
27-09-2021,3rd Floor Male
26-09-2021,3rd Floor Male
25-09-2021,3rd Floor Male
24-09-2021,3rd Floor Male
23-09-2021,3rd Floor Male
22-09-2021,3rd Floor Male
21-09-2021,3rd Floor Male
20-09-2021,3rd Floor Male
19-09-2021,3rd Floor Male
18-09-2021,3rd Floor Male
17-09-2021,3rd Floor Male
16-09-2021,3rd Floor Male
15-09-2021,3rd Floor Male
14-09-2021,3rd Floor Male
13-09-2021,3rd Floor Male
12-09-2021,3rd Floor Male
11-09-2021,3rd Floor Male
09-09-2021,3rd Floor Male
06-09-2021,3rd Floor Male
05-09-2021,3rd Floor Male
04-09-2021,3rd Floor Male
03-09-2021,3rd Floor Male
02-09-2021,3rd Floor Male
01-09-2021,3rd Floor Male
31-08-2021,3rd Floor Male
28-08-2021,3rd Floor Male
27-08-2021,3rd Floor Male
26-08-2021,3rd Floor Male
24-08-2021,3rd Floor Male
21-08-2021,3rd Floor Male
20-08-2021,3rd Floor Male
19-08-2021,3rd Floor Male
18-08-2021,3rd Floor Male
14-08-2021,3rd Floor Male
11-08-2021,3rd Floor Male
08-08-2021,3rd Floor Male
05-08-2021,3rd Floor Male
03-08-2021,3rd Floor Male
02-08-2021,3rd Floor Male
31-07-2021,3rd Floor Male
29-07-2021,3rd Floor Male
28-07-2021,3rd Floor Male
24-07-2021,3rd Floor Male
23-07-2021,3rd Floor Male
22-07-2021,3rd Floor Male
21-07-2021,3rd Floor Male
20-07-2021,3rd Floor Male
17-07-2021,3rd Floor Male
16-07-2021,3rd Floor Male
15-07-2021,3rd Floor Male
14-07-2021,3rd Floor Male
11-07-2021,3rd Floor Male
10-07-2021,3rd Floor Male
09-07-2021,3rd Floor Male
08-07-2021,3rd Floor Male
06-07-2021,3rd Floor Male
05-07-2021,3rd Floor Male
03-07-2021,3rd Floor Male
02-07-2021,3rd Floor Male
01-07-2021,3rd Floor Male
29-06-2021,3rd Floor Male
28-06-2021,3rd Floor Male
26-06-2021,3rd Floor Male
24-06-2021,3rd Floor Male
23-06-2021,3rd Floor Male
22-06-2021,3rd Floor Male
21-06-2021,3rd Floor Male
20-06-2021,3rd Floor Male
19-06-2021,3rd Floor Male
18-06-2021,3rd Floor Male
17-06-2021,3rd Floor Male
16-06-2021,3rd Floor Male
15-06-2021,3rd Floor Male
14-06-2021,3rd Floor Male
13-06-2021,3rd Floor Male
12-06-2021,3rd Floor Male
11-06-2021,3rd Floor Male
10-06-2021,3rd Floor Male
09-06-2021,3rd Floor Male
08-06-2021,3rd Floor Male
07-06-2021,3rd Floor Male
06-06-2021,3rd Floor Male
05-06-2021,3rd Floor Male
04-06-2021,3rd Floor Male
03-06-2021,3rd Floor Male
02-06-2021,3rd Floor Male
01-06-2021,3rd Floor Male
31-05-2021,3rd Floor Male
29-05-2021,3rd Floor Male
28-05-2021,3rd Floor Male
27-05-2021,3rd Floor Male
26-05-2021,3rd Floor Male
25-05-2021,3rd Floor Male
24-05-2021,3rd Floor Male
23-05-2021,3rd Floor Male
22-05-2021,3rd Floor Male
21-05-2021,3rd Floor Male
20-05-2021,3rd Floor Male
19-05-2021,3rd Floor Male
18-05-2021,3rd Floor Male
17-05-2021,3rd Floor Male
16-05-2021,3rd Floor Male
15-05-2021,3rd Floor Male
14-05-2021,3rd Floor Male
13-05-2021,3rd Floor Male
12-05-2021,3rd Floor Male
11-05-2021,3rd Floor Male
10-05-2021,3rd Floor Male
09-05-2021,3rd Floor Male
08-05-2021,3rd Floor Male
07-05-2021,3rd Floor Male
06-05-2021,3rd Floor Male
05-05-2021,3rd Floor Male
04-05-2021,3rd Floor Male
03-05-2021,3rd Floor Male
30-04-2021,3rd Floor Male
29-04-2021,3rd Floor Male
28-04-2021,3rd Floor Male
27-04-2021,3rd Floor Male
26-04-2021,3rd Floor Male
25-04-2021,3rd Floor Male
24-04-2021,3rd Floor Male
23-04-2021,3rd Floor Male
22-04-2021,3rd Floor Male
21-04-2021,3rd Floor Male
20-04-2021,3rd Floor Male
19-04-2021,3rd Floor Male
18-04-2021,3rd Floor Male
17-04-2021,3rd Floor Male
16-04-2021,3rd Floor Male
15-04-2021,3rd Floor Male
14-04-2021,3rd Floor Male
13-04-2021,3rd Floor Male
12-04-2021,3rd Floor Male
11-04-2021,3rd Floor Male
10-04-2021,3rd Floor Male
09-04-2021,3rd Floor Male
08-04-2021,3rd Floor Male
07-04-2021,3rd Floor Male
06-04-2021,3rd Floor Male
05-04-2021,3rd Floor Male
03-04-2021,3rd Floor Male
02-04-2021,3rd Floor Male
01-04-2021,3rd Floor Male
31-03-2021,3rd Floor Male
29-03-2021,3rd Floor Male
28-03-2021,3rd Floor Male
27-03-2021,3rd Floor Male
26-03-2021,3rd Floor Male
25-03-2021,3rd Floor Male
24-03-2021,3rd Floor Male
23-03-2021,3rd Floor Male
22-03-2021,3rd Floor Male
21-03-2021,3rd Floor Male
20-03-2021,3rd Floor Male
19-03-2021,3rd Floor Male
18-03-2021,3rd Floor Male
17-03-2021,3rd Floor Male
16-03-2021,3rd Floor Male
14-03-2021,3rd Floor Male
13-03-2021,3rd Floor Male
12-03-2021,3rd Floor Male
10-03-2021,3rd Floor Male
09-03-2021,3rd Floor Male
08-03-2021,3rd Floor Male
07-03-2021,3rd Floor Male
06-03-2021,3rd Floor Male
05-03-2021,3rd Floor Male
04-03-2021,3rd Floor Male
02-03-2021,2nd Floor Night Overflow
08-10-2020,3rd Floor Male
07-10-2020,3rd Floor Male
06-10-2020,3rd Floor Male
05-10-2020,3rd Floor Male
04-10-2020,3rd Floor Male
03-10-2020,3rd Floor Male
02-10-2020,3rd Floor Male
01-10-2020,3rd Floor Male
30-09-2020,3rd Floor Male
29-09-2020,3rd Floor Male
28-09-2020,3rd Floor Male
27-09-2020,3rd Floor Male
26-09-2020,3rd Floor Male
25-09-2020,3rd Floor Male
23-09-2020,3rd Floor Male
22-09-2020,3rd Floor Male
21-09-2020,3rd Floor Male
20-09-2020,3rd Floor Male
18-09-2020,3rd Floor Male
17-09-2020,3rd Floor Male
16-09-2020,3rd Floor Male
15-09-2020,3rd Floor Male
29-08-2020,3rd Floor Male
28-08-2020,3rd Floor Male
27-08-2020,3rd Floor Male
26-08-2020,3rd Floor Male
25-08-2020,3rd Floor Male
24-08-2020,3rd Floor Male
23-08-2020,3rd Floor Male
22-08-2020,3rd Floor Male
21-08-2020,3rd Floor Male
20-08-2020,3rd Floor Male
19-08-2020,3rd Floor Male
18-08-2020,3rd Floor Male
17-08-2020,3rd Floor Male
16-08-2020,3rd Floor Male
15-08-2020,3rd Floor Male
14-08-2020,3rd Floor Male
13-08-2020,3rd Floor Male
12-08-2020,3rd Floor Male
09-08-2020,3rd Floor Male
08-08-2020,3rd Floor Male
06-08-2020,3rd Floor Male
05-08-2020,3rd Floor Male
04-08-2020,3rd Floor Male
02-08-2020,3rd Floor Male
01-08-2020,3rd Floor Male
30-07-2020,3rd Floor Male
29-07-2020,3rd Floor Male
28-07-2020,3rd Floor Male
27-07-2020,3rd Floor Male
26-07-2020,3rd Floor Male
25-07-2020,3rd Floor Male
23-07-2020,3rd Floor Male
22-07-2020,3rd Floor Male
20-07-2020,3rd Floor Male
19-07-2020,3rd Floor Male
18-07-2020,3rd Floor Male
17-07-2020,3rd Floor Male
16-07-2020,3rd Floor Male
14-07-2020,3rd Floor Male
13-07-2020,3rd Floor Male
12-07-2020,3rd Floor Male
10-07-2020,3rd Floor Male
08-07-2020,3rd Floor Male
31-05-2019,Day Sleep (3rd Floor)
31-05-2019,Catalyst
30-05-2019,Catalyst
30-05-2019,Day Sleep (3rd Floor)
29-05-2019,Catalyst
28-05-2019,Day Sleep (3rd Floor)
28-05-2019,Catalyst
27-05-2019,Day Sleep (3rd Floor)
27-05-2019,Catalyst
26-05-2019,Catalyst
26-05-2019,Day Sleep (3rd Floor)
25-05-2019,Catalyst
24-05-2019,Day Sleep (3rd Floor)
24-05-2019,Catalyst
23-05-2019,Day Sleep (3rd Floor)
23-05-2019,Catalyst
22-05-2019,Day Sleep (3rd Floor)
22-05-2019,Catalyst
21-05-2019,Day Sleep (3rd Floor)
21-05-2019,Catalyst
20-05-2019,Day Sleep (3rd Floor)
20-05-2019,5th Floor Supportive Housing
19-05-2019,5th Floor Supportive Housing
19-05-2019,Day Sleep (3rd Floor)
18-05-2019,5th Floor Supportive Housing
18-05-2019,Day Sleep (3rd Floor)
17-05-2019,Day Sleep (3rd Floor)
17-05-2019,5th Floor Supportive Housing
16-05-2019,5th Floor Supportive Housing
15-05-2019,5th Floor Supportive Housing
15-05-2019,Day Sleep (3rd Floor)
14-05-2019,Day Sleep (3rd Floor)
14-05-2019,5th Floor Supportive Housing
13-05-2019,Day Sleep (3rd Floor)
13-05-2019,5th Floor Supportive Housing
12-05-2019,Day Sleep (3rd Floor)
12-05-2019,5th Floor Supportive Housing
11-05-2019,5th Floor Supportive Housing
11-05-2019,Day Sleep (3rd Floor)
10-05-2019,Day Sleep (3rd Floor)
10-05-2019,5th Floor Supportive Housing
09-05-2019,Day Sleep (3rd Floor)
09-05-2019,5th Floor Supportive Housing
08-05-2019,5th Floor Supportive Housing
08-05-2019,Day Sleep (3rd Floor)
07-05-2019,Day Sleep (3rd Floor)
07-05-2019,5th Floor Supportive Housing
06-05-2019,5th Floor Supportive Housing
06-05-2019,Day Sleep (3rd Floor)
05-05-2019,5th Floor Supportive Housing
05-05-2019,Day Sleep (3rd Floor)
04-05-2019,5th Floor Supportive Housing
03-05-2019,Day Sleep (3rd Floor)
03-05-2019,5th Floor Supportive Housing
02-05-2019,Day Sleep (3rd Floor)
02-05-2019,5th Floor Supportive Housing
01-05-2019,5th Floor Supportive Housing
01-05-2019,Day Sleep (3rd Floor)
30-04-2019,Catalyst
30-04-2019,Day Sleep (3rd Floor)
29-04-2019,Catalyst
29-04-2019,Day Sleep (3rd Floor)
28-04-2019,Catalyst
28-04-2019,Day Sleep (3rd Floor)
27-04-2019,Catalyst
27-04-2019,Day Sleep (3rd Floor)
26-04-2019,Day Sleep (3rd Floor)
26-04-2019,Catalyst
25-04-2019,Catalyst
25-04-2019,Day Sleep (3rd Floor)
24-04-2019,Catalyst
24-04-2019,Day Sleep (3rd Floor)
23-04-2019,Day Sleep (3rd Floor)
23-04-2019,Catalyst
22-04-2019,Catalyst
22-04-2019,Day Sleep (3rd Floor)
21-04-2019,Catalyst
21-04-2019,Day Sleep (3rd Floor)
20-04-2019,Day Sleep (3rd Floor)
20-04-2019,5th Floor Supportive Housing
19-04-2019,5th Floor Supportive Housing
19-04-2019,Day Sleep (3rd Floor)
18-04-2019,5th Floor Supportive Housing
18-04-2019,Day Sleep (3rd Floor)
17-04-2019,5th Floor Supportive Housing
17-04-2019,Day Sleep (3rd Floor)
16-04-2019,Day Sleep (3rd Floor)
16-04-2019,5th Floor Supportive Housing
15-04-2019,5th Floor Supportive Housing
15-04-2019,Day Sleep (3rd Floor)
14-04-2019,5th Floor Supportive Housing
14-04-2019,Day Sleep (3rd Floor)
13-04-2019,5th Floor Supportive Housing
13-04-2019,Day Sleep (3rd Floor)
12-04-2019,5th Floor Supportive Housing
12-04-2019,Day Sleep (3rd Floor)
11-04-2019,5th Floor Supportive Housing
11-04-2019,Day Sleep (3rd Floor)
10-04-2019,5th Floor Supportive Housing
10-04-2019,Day Sleep (3rd Floor)
09-04-2019,Day Sleep (3rd Floor)
09-04-2019,5th Floor Supportive Housing
08-04-2019,Day Sleep (3rd Floor)
08-04-2019,5th Floor Supportive Housing
07-04-2019,5th Floor Supportive Housing
07-04-2019,Day Sleep (3rd Floor)
06-04-2019,5th Floor Supportive Housing
05-04-2019,5th Floor Supportive Housing
05-04-2019,Day Sleep (3rd Floor)
04-04-2019,Day Sleep (3rd Floor)
04-04-2019,5th Floor Supportive Housing
03-04-2019,Day Sleep (3rd Floor)
